,street_number,street_name,neighborhood,city,postal_code,lon,lat,HUNDRED_BLOCK,count,address
10220,14015,61 Avenue,South Newton,Surrey,V3X 1E2,-122.8343312,49.1136538,140TH ST / 61ST AVE,3,140TH ST / 61ST AVE Surrey
10221,79,79 Avenue,Newton,Surrey,V3W 5Y9,-122.834555,49.146335,140TH ST / 79TH AVE,3,140TH ST / 79TH AVE Surrey
10222,9153,140 Street,Surrey,Greater Vancouver,V3V 5Y8,-122.8346986,49.1690904,140TH ST / 91A AVE,3,140TH ST / 91A AVE Surrey
10223,Northbound 140 St @ 96 Ave,Surrey,Greater Vancouver,British Columbia,V3V,-122.8345949,49.1776012,140TH ST / LAUREL DR,3,140TH ST / LAUREL DR Surrey
10224,14096,113A Avenue,Surrey,Greater Vancouver,V3R 2K5,-122.8313868,49.208311,14100 113A AVE,3,14100 113A AVE Surrey
10225,14073,113 Avenue,Surrey,Greater Vancouver,V3R 2J9,-122.8319691,49.2076334,14100 113TH AVE,3,14100 113TH AVE Surrey
10226,14115,North Bluff Road,Surrey,Greater Vancouver,V4A 1P9,-122.8315109,49.0318425,14100 16A AVE,3,14100 16A AVE Surrey
10227,14098,18 Avenue,Surrey,Greater Vancouver,V4A 6T4,-122.8316508,49.0341824,14100 18TH AVE,3,14100 18TH AVE Surrey
10228,2331,141 Street,Surrey,Greater Vancouver,V4A 9R9,-122.831605,49.0448007,14100 23A AVE,3,14100 23A AVE Surrey
10229,12740,25A Avenue,Surrey,Greater Vancouver,V4A 5R5,-122.8690123,49.0486569,14100 25A AVE,3,14100 25A AVE Surrey
10230,14090,64 Avenue,South Newton,Surrey,V3W 1Y8,-122.8313817,49.1188913,14100 64TH AVE,3,14100 64TH AVE Surrey
10231,14091,Colebrook Road,Newton,Surrey,V3S 0L2,-122.8321619,49.0969876,14100 COLEBROOK RD,3,14100 COLEBROOK RD Surrey
10232,14084,Greencrest Drive,Surrey,Greater Vancouver,V4P 1L6,-122.8330254,49.0668673,14100 GREENCREST DR,3,14100 GREENCREST DR Surrey
10233,6736,141 Street,Newton,Surrey,V3W 6X4,-122.8316178,49.125328,14100 HYLAND RD,3,14100 HYLAND RD Surrey
10234,14140,Melrose Drive,Surrey,Greater Vancouver,V3R 5R2,-122.829912,49.2068083,14100 MELROSE DR,3,14100 MELROSE DR Surrey
10235,14149,108 Avenue,Surrey,Greater Vancouver,V3T 2L7,-122.8299265,49.1988098,141A ST / 108TH AVE,3,141A ST / 108TH AVE Surrey
10236,14093,84 Avenue,Newton,Surrey,V3W 0V5,-122.831639,49.155504,141ST ST / 84TH AVE,3,141ST ST / 84TH AVE Surrey
10237,14202,100 Avenue,Surrey,Greater Vancouver,V3T,-122.8286193,49.1840193,14200 100TH AVE,3,14200 100TH AVE Surrey
10238,14250,26 Avenue,Surrey,Greater Vancouver,V4P 2G7,-122.8271383,49.0498684,14200 26TH AVE,3,14200 26TH AVE Surrey
10239,3185,142 Street,Surrey,Greater Vancouver,V4P 2J3,-122.8287517,49.0602207,14200 32ND AVE,3,14200 32ND AVE Surrey
10240,13571,87A Avenue,Newton,Surrey,V3W 6Y8,-122.8466129,49.1612637,14200 87A AVE,3,14200 87A AVE Surrey
10241,10793,142A Street,Whalley,Surrey,V3T 5A1,-122.8271558,49.1987997,142A ST / 108TH AVE,3,142A ST / 108TH AVE Surrey
10242,14205,62 Avenue,South Newton,Surrey,V3X 0B8,-122.8288295,49.1154896,142ND ST / 62ND AVE,3,142ND ST / 62ND AVE Surrey
10243,14191,68 Avenue,Newton,Surrey,V3W 2H3,-122.8288605,49.126217,142ND ST / 68TH AVE,3,142ND ST / 68TH AVE Surrey
10244,6958,142 Street,Newton,Surrey,V3W 5N3,-122.828832,49.1291129,142ND ST / 69A AVE,3,142ND ST / 69A AVE Surrey
10245,7535,142 Street,Newton,Surrey,V3W 7M3,-122.8289491,49.1399545,142ND ST / 75A AVE,3,142ND ST / 75A AVE Surrey
10246,15818,27 Avenue,Morgan Heights,Surrey,V3S 3W3,-122.784222,49.0508054,14300 27TH AVE,3,14300 27TH AVE Surrey
10247,14252,31A Avenue,Surrey,Greater Vancouver,V4P 2J3,-122.8278317,49.0589091,14300 31A AVE,3,14300 31A AVE Surrey
10248,14266,32 Avenue,Surrey,Greater Vancouver,V4P 2J5,-122.8267926,49.0600341,14300 32ND AVE,3,14300 32ND AVE Surrey
10249,14314,85A Avenue,Newton,Surrey,V3W 0N9,-122.8255634,49.1581623,14300 85A AVE,3,14300 85A AVE Surrey
10250,14314,110 Avenue,Surrey,Greater Vancouver,V3R 1Z9,-122.8251437,49.2024295,143A ST / 110TH AVE,3,143A ST / 110TH AVE Surrey
10251,14319,Kindersley Drive,Surrey,Greater Vancouver,V3R 5P7,-122.8251834,49.2046485,143A ST / KINDERSLEY DR,3,143A ST / KINDERSLEY DR Surrey
10252,10015,143 Street,Whalley,Surrey,V3T 4S7,-122.8263835,49.184007,143RD ST / 100TH AVE,3,143RD ST / 100TH AVE Surrey
10253,14290,104 Avenue,Whalley,Surrey,V3T 1X8,-122.8258725,49.1914725,143RD ST / 104TH AVE,3,143RD ST / 104TH AVE Surrey
10254,14386,32 Avenue,Surrey,Greater Vancouver,V4P 2J5,-122.823311,49.060203,14400 32ND AVE,3,14400 32ND AVE Surrey
10255,14418,34 Avenue,Surrey,Greater Vancouver,V4P 3L2,-122.8228858,49.063701,14400 34TH AVE,3,14400 34TH AVE Surrey
10256,14400,55 Avenue,Newton,Surrey,V3X 1B4,-122.82142,49.102774,14400 55TH AVE,3,14400 55TH AVE Surrey
10257,14480,56 Avenue,Newton,Surrey,V3X 0H5,-122.8204362,49.1044644,14400 56TH AVE,3,14400 56TH AVE Surrey
10258,14398,76A Avenue,Newton,Surrey,V3W 1N8,-122.8236664,49.141498,14400 76A AVE,3,14400 76A AVE Surrey
10259,14485,88A Avenue,Surrey,Greater Vancouver,V3R 1A2,-122.8208189,49.1637666,14400 88A AVE,3,14400 88A AVE Surrey
10260,14349,91 Avenue,Surrey,Greater Vancouver,V3V 7T7,-122.8251787,49.1683109,14400 91ST AVE,3,14400 91ST AVE Surrey
10261,9189,144 Street,Surrey,Greater Vancouver,V3V 5Z9,-122.82341,49.1701208,14400 92ND AVE,3,14400 92ND AVE Surrey
10262,14406,115 Avenue,Surrey,Greater Vancouver,V3R 2R2,-122.8226599,49.2113276,14400 BEDFORD DR,3,14400 BEDFORD DR Surrey
10263,10015,144 Street,Whalley,Surrey,V3T 4T9,-122.8230711,49.184015,14400 BLOCK 100TH AVE,3,14400 BLOCK 100TH AVE Surrey
10264,10368,144 Street,Whalley,Surrey,V3T 4V3,-122.8231161,49.1907841,144TH ST / 103A AVE,3,144TH ST / 103A AVE Surrey
10265,10294,144 Street,Whalley,Surrey,V3T 4V3,-122.8231012,49.1896749,144TH ST / 103RD AVE,3,144TH ST / 103RD AVE Surrey
10266,10477,144 Street,Whalley,Surrey,V3T 4V4,-122.823092,49.1927189,144TH ST / 104A AVE,3,144TH ST / 104A AVE Surrey
10267,6155,144 Street,South Newton,Surrey,V3X 1A4,-122.8234067,49.1145692,144TH ST / 61A AVE,3,144TH ST / 61A AVE Surrey
10268,7542,144 Street,Newton,Surrey,V3W 5S6,-122.8233172,49.1400733,144TH ST / 75A AVE,3,144TH ST / 75A AVE Surrey
10269,144 St FS 77A Ave,Newton,Surrey,Greater Vancouver,V3W,-122.823413,49.14323,144TH ST / 77A AVE,3,144TH ST / 77A AVE Surrey
10270,3523,144 Street,Surrey,Greater Vancouver,V4P 2A1,-122.8226007,49.0666495,144TH ST / CRESCENT RD,3,144TH ST / CRESCENT RD Surrey
10271,144 St FS 80 Ave,Newton,Surrey,Greater Vancouver,V3S,-122.8234128,49.1482197,144TH ST / HAWKSTREAM DR,3,144TH ST / HAWKSTREAM DR Surrey
10272,14500,100 Avenue,Surrey,Greater Vancouver,V3V 7Z2,-122.8206225,49.1840681,14500  100TH AVE,3,14500  100TH AVE Surrey
10273,14538,58A Avenue,South Newton,Surrey,V3S 0Y7,-122.8196076,49.108799,14500 58A AVE,3,14500 58A AVE Surrey
10274,14498,79A Avenue,Newton,Surrey,V3S,-122.8207592,49.1468164,14500 79A AVE,3,14500 79A AVE Surrey
10275,14488,Lombard Place,Newton,Surrey,V3X 1B5,-122.8205915,49.1014756,14500 LOMBARD PL,3,14500 LOMBARD PL Surrey
10276,14564,145A Street,East Newton South,Surrey,V3S 0T2,-122.8195588,49.1262534,145A ST / 68TH AVE,3,145A ST / 68TH AVE Surrey
10277,14430,40 Avenue,Surrey,Greater Vancouver,V3S 0L2,-122.8215607,49.0778189,14600  40TH AVE,3,14600  40TH AVE Surrey
10278,1750,152 Street,Surrey,Greater Vancouver,V4A 7Z7,-122.8010844,49.0338435,14600 17A AVE,3,14600 17A AVE Surrey
10279,1819,146 Street,Surrey,Greater Vancouver,V4A 4M4,-122.8175757,49.034767,14600 18TH AVE,3,14600 18TH AVE Surrey
10280,96,60A Avenue,South Newton,Surrey,V3S 4R5,-122.8178491,49.112361,14600 60A AVE,3,14600 60A AVE Surrey
10281,14688,Ashford Place,Surrey,Greater Vancouver,V3R 6P4,-122.8153407,49.1637516,14600 ASHFORD PL,3,14600 ASHFORD PL Surrey
10282,Green Timbers Park,14600,100 Avenue,Surrey,V3V 7Z2,-122.8201326,49.183777,14600 BLOCK 100TH AVE,3,14600 BLOCK 100TH AVE Surrey
10283,14758,Fraser Highway,Surrey,Greater Vancouver,V3R 3W8,-122.8134966,49.1706902,14600 BLOCK FRASER HWY,3,14600 BLOCK FRASER HWY Surrey
10284,14600,20 Avenue,Surrey,Greater Vancouver,V4A 2C8,-122.8186066,49.0398213,14601 20 AVE,3,14601 20 AVE Surrey
10285,14655,76 Avenue,Newton,Surrey,V3S 2H1,-122.8156982,49.1410385,146A ST / 76TH AVE,3,146A ST / 76TH AVE Surrey
10286,8903,146A Street,Surrey,Greater Vancouver,V3R 6Z9,-122.8165942,49.164638,146A ST / 89TH AVE,3,146A ST / 89TH AVE Surrey
10287,10320,146 Street,Whalley,Surrey,V3R 3T3,-122.8175207,49.189559,146TH ST / 103RD AVE,3,146TH ST / 103RD AVE Surrey
10288,24 Avenue,Surrey,Greater Vancouver,British Columbia,V4A,-122.8176544,49.0456887,146TH ST / 24TH AVE,3,146TH ST / 24TH AVE Surrey
10289,14599,67B Avenue,East Newton South,Surrey,V3S 0Z4,-122.8177449,49.12565,146TH ST / 67B AVE,3,146TH ST / 67B AVE Surrey
10290,14608,68 Avenue,East Newton South,Surrey,V3S 2B1,-122.8177649,49.1262748,146TH ST / 68TH AVE,3,146TH ST / 68TH AVE Surrey
10291,7258,146 Street,Newton,Surrey,V3S 8Z7,-122.817894,49.1346832,146TH ST / 72A AVE,3,146TH ST / 72A AVE Surrey
10292,7388,146 Street,Newton,Surrey,V3S 8Z7,-122.817801,49.13722,146TH ST / 74TH AVE,3,146TH ST / 74TH AVE Surrey
10293,8366,146 Street,Newton,Surrey,V3S 9K1,-122.8175798,49.1547536,146TH ST / 83A AVE,3,146TH ST / 83A AVE Surrey
10294,1986,148 Street,Surrey,Greater Vancouver,V4A 6R3,-122.812397,49.0384015,14700 20TH AVE,3,14700 20TH AVE Surrey
10295,14712,54 Avenue,East Panorama Ridge,Surrey,V3S 1A2,-122.8145836,49.1001845,14700 54TH AVE,3,14700 54TH AVE Surrey
10296,14716,55A Avenue,Newton,Surrey,V3S 1B2,-122.8149218,49.1034128,14700 55A AVE,3,14700 55A AVE Surrey
10297,14730,56B Avenue,South Newton,Surrey,V3S 6K8,-122.8142711,49.105731,14700 56B AVE,3,14700 56B AVE Surrey
10298,19036,22 Avenue,Campbell Heights,Surrey,V3S 3S6,-122.6967252,49.0415628,14800 22ND AVE,3,14800 22ND AVE Surrey
10299,3339,148 Street,Surrey,Greater Vancouver,V4P 1A7,-122.8122085,49.0627801,14800 33A AVE,3,14800 33A AVE Surrey
10300,3424,148 Street,Surrey,Greater Vancouver,V4P 1A6,-122.8122811,49.0641033,14800 34A AVE,3,14800 34A AVE Surrey
10301,108 Ave FS 148 St,Guildford,Surrey,Greater Vancouver,V3R,-122.8124861,49.1987331,14800 BLOCK 108TH AVE,3,14800 BLOCK 108TH AVE Surrey
10302,14818,76 Avenue,Newton,Surrey,V3S 2H2,-122.812234,49.141036,14800 ST / 76TH AVE,3,14800 ST / 76TH AVE Surrey
10303,10296,148 Street,Guildford,Surrey,V3R 3W9,-122.811979,49.189821,148TH ST / 103RD AVE,3,148TH ST / 103RD AVE Surrey
10304,10523,148 Street,Guildford,Surrey,V3R 3X7,-122.81244,49.193917,148TH ST / 105A AVE,3,148TH ST / 105A AVE Surrey
10305,10892,148 Street,Guildford,Surrey,V3R 3Y4,-122.812545,49.2005429,148TH ST / 109TH AVE,3,148TH ST / 109TH AVE Surrey
10306,6645,148 Street,Newton,Surrey,V3S 3C7,-122.8122283,49.1235689,148TH ST / 66A AVE,3,148TH ST / 66A AVE Surrey
10307,6906,148 Street,East Newton South,Surrey,V3S 3E2,-122.812196,49.128222,148TH ST / 69TH AVE,3,148TH ST / 69TH AVE Surrey
10308,6998,148 Street,East Newton South,Surrey,V3S 3E3,-122.812175,49.130108,148TH ST / 70TH AVE,3,148TH ST / 70TH AVE Surrey
10309,14805,71A Avenue,East Newton South,Surrey,V3S 2E4,-122.812162,49.132981,148TH ST / 71A AVE,3,148TH ST / 71A AVE Surrey
10310,8900,148 Street,Surrey,Greater Vancouver,V3R 3W4,-122.8123913,49.164655,148TH ST / 89TH AVE,3,148TH ST / 89TH AVE Surrey
10311,14780,North Bluff Road,White Rock,Greater Vancouver,V4B 3E1,-122.8122082,49.0312011,148TH ST / NORTH BLUFF RD,3,148TH ST / NORTH BLUFF RD Surrey
10312,14901,61A Avenue,South Newton,Surrey,V3S 7X3,-122.8091727,49.114932,14900 61A AVE,3,14900 61A AVE Surrey
10313,14918,95 Avenue,Surrey,Greater Vancouver,V3R 7W6,-122.8090921,49.1747519,14900 95TH AVE,3,14900 95TH AVE Surrey
10314,14952,57 Avenue,South Newton,Surrey,V3S 8W9,-122.8083766,49.105662,149A ST / 57TH AVE,3,149A ST / 57TH AVE Surrey
10315,14885,100 Avenue,Guildford,Surrey,V3R 0W1,-122.809732,49.18418,149TH ST / 100TH AVE,3,149TH ST / 100TH AVE Surrey
10316,14908,76 Avenue,Newton,Surrey,V3S 2H2,-122.810268,49.141041,149TH ST / 76TH AVE,3,149TH ST / 76TH AVE Surrey
10317,1498,15 Avenue,Surrey,Greater Vancouver,V4A 1K3,-122.87203,49.029839,1500 126A ST,3,1500 126A ST Surrey
10318,1488,127 Street,Surrey,Greater Vancouver,V4A 5W5,-122.8696952,49.0293651,1500 127TH ST,3,1500 127TH ST Surrey
10319,1515,130 Street,Surrey,Greater Vancouver,V4A 4A1,-122.8620219,49.0296577,1500 130TH ST,3,1500 130TH ST Surrey
10320,1500,Bergstrom Road,White Rock,Greater Vancouver,V4B 2Y9,-122.8451636,49.0296579,1500 136TH ST,3,1500 136TH ST Surrey
10321,1492,Stayte Road,Surrey,Greater Vancouver,V4A 4W9,-122.779223,49.0292388,1500 160TH ST,3,1500 160TH ST Surrey
10322,1515,184 Street,Campbell Heights,Surrey,V3S 9R9,-122.7127226,49.0293798,1500 184TH ST,3,1500 184TH ST Surrey
10323,1537,King George Boulevard,Surrey,Greater Vancouver,V4A 9R3,-122.774144,49.0299186,1500 KING GEORGE BLVD,3,1500 KING GEORGE BLVD Surrey
10324,14748,86B Avenue,Newton,Surrey,V3S 6R5,-122.8140548,49.1601802,15000 86B AVE,3,15000 86B AVE Surrey
10325,5875,150 Street,South Newton,Surrey,V3S 5N5,-122.8066347,49.1092902,150TH ST / 58A AVE,3,150TH ST / 58A AVE Surrey
10326,14993,63 Avenue,South Newton,Surrey,V3S 2X1,-122.806623,49.1167824,150TH ST / 63RD AVE,3,150TH ST / 63RD AVE Surrey
10327,6868,150 Street,East Newton South,Surrey,V3S 3J2,-122.8065784,49.1273931,150TH ST / 68A AVE,3,150TH ST / 68A AVE Surrey
10328,9012,150 Street,Surrey,Greater Vancouver,V3R 6X2,-122.806895,49.166472,150TH ST / 90TH AVE,3,150TH ST / 90TH AVE Surrey
10329,15238,64 Avenue,Surrey,Greater Vancouver,V3S 1Y1,-122.799154,49.1188742,15100 64TH AVE,3,15100 64TH AVE Surrey
10330,15098,67A Avenue,East Newton South,Surrey,V3S 9G5,-122.8033286,49.125424,15100 67A AVE,3,15100 67A AVE Surrey
10331,7521,151A Street,Newton,Surrey,V3S 8B4,-122.8031821,49.1402653,15100 75A AVE,3,15100 75A AVE Surrey
10332,15100,Eagle Place,Guildford,Surrey,V3R 4W2,-122.803665,49.2021921,15100 EAGLE PL,3,15100 EAGLE PL Surrey
10333,15098,Robin Crescent,Guildford,Surrey,V3R 4X8,-122.8036915,49.2051404,15100 ROBIN CRES,3,15100 ROBIN CRES Surrey
10334,15089,Spenser Drive,Newton,Surrey,V3S 5Z6,-122.8043954,49.1567969,15100 SPENSER CRT,3,15100 SPENSER CRT Surrey
10335,15105,105 Avenue,Guildford,Surrey,V3R 7G8,-122.8026847,49.1935859,15105 105 AVE,3,15105 105 AVE Surrey
10336,15105,105 Avenue,Guildford,Surrey,V3R 7G8,-122.8026847,49.1935859,15105 105TH AVE,3,15105 105TH AVE Surrey
10337,15141,76 Avenue,Newton,Surrey,V3S 2H4,-122.802609,49.141067,151A ST / 76TH AVE,3,151A ST / 76TH AVE Surrey
10338,15270,58 Avenue,Surrey,Greater Vancouver,V3S 8R6,-122.7991192,49.1073946,15200 58TH AVE,3,15200 58TH AVE Surrey
10339,14239,61B Avenue,South Newton,Surrey,V3S 1C8,-122.8275728,49.1148398,15200 61B AVE,3,15200 61B AVE Surrey
10340,152 St FS 72 Ave,Surrey,Greater Vancouver,British Columbia,V3S,-122.8008765,49.1336418,15200 72ND AVE,3,15200 72ND AVE Surrey
10341,15214,Kildare Drive,Surrey,Greater Vancouver,V3S 6B2,-122.8005968,49.1114769,15200 KILDARE DR,3,15200 KILDARE DR Surrey
10342,15196,104 Avenue,Guildford,Surrey,V3R 1N3,-122.8009815,49.1914353,15200 ST / 104TH AVE,3,15200 ST / 104TH AVE Surrey
10343,15238,64 Avenue,Surrey,Greater Vancouver,V3S 1Y1,-122.799154,49.1188742,15200 ST / 64TH AVE,3,15200 ST / 64TH AVE Surrey
10344,15265,17A Avenue,Surrey,Greater Vancouver,V4A 1V4,-122.799197,49.0341436,15265 17A AVE,3,15265 17A AVE Surrey
10345,15262,24 Avenue,Surrey,Greater Vancouver,V4A 2J9,-122.7998156,49.0455655,152A ST / 24TH AVE,3,152A ST / 24TH AVE Surrey
10346,9641,152B Street,Surrey,Greater Vancouver,V3R 8P4,-122.798289,49.1777,152B ST / 96A AVE,3,152B ST / 96A AVE Surrey
10347,6456,152 Street,Surrey,Greater Vancouver,V3S 3L1,-122.8010647,49.1196779,152ND FRTG / 70A AVE,3,152ND FRTG / 70A AVE Surrey
10348,6456,152 Street,Surrey,Greater Vancouver,V3S 3L1,-122.8010647,49.1196779,152ND FRTG / 71A AVE,3,152ND FRTG / 71A AVE Surrey
10349,6586,152 Street,East Newton Business Park,Surrey,V3S 3L1,-122.8009547,49.1225766,152ND ST / 66TH AVE,3,152ND ST / 66TH AVE Surrey
10350,152 St FS 93 Ave,Surrey,Greater Vancouver,British Columbia,V3R,-122.8011352,49.1718679,152ND ST / 93RD AVE,3,152ND ST / 93RD AVE Surrey
10351,6456,152 Street,Surrey,Greater Vancouver,V3S 3L1,-122.8010647,49.1196779,152ND ST OFRP / TRANS CANADA HWY,3,152ND ST OFRP / TRANS CANADA HWY Surrey
10352,13102,King George Boulevard,Surrey,Greater Vancouver,V3T 2S6,-122.8589814,49.2067615,15300 112A AVE,3,15300 112A AVE Surrey
10353,15357,113 Avenue,Surrey,Greater Vancouver,V3R 9J2,-122.7978258,49.2079002,15300 113TH AVE,3,15300 113TH AVE Surrey
10354,19036,22 Avenue,Campbell Heights,Surrey,V3S 3S6,-122.6967252,49.0415628,15300 22ND AVE,3,15300 22ND AVE Surrey
10355,15291,36 Avenue,Rosemary Heights Central,Surrey,V3S 0J5,-122.7981561,49.0673681,15300 36TH AVE,3,15300 36TH AVE Surrey
10356,15288,54A Avenue,Surrey,Greater Vancouver,V3S 5X7,-122.7981026,49.1020457,15300 54A AVE,3,15300 54A AVE Surrey
10357,15306,58 Avenue,Surrey,Greater Vancouver,V3S 8R6,-122.7980336,49.1073868,15300 58TH AVE,3,15300 58TH AVE Surrey
10358,15211,72 Avenue,Surrey,Greater Vancouver,V3S 2G4,-122.7969491,49.1335673,15300 72ND AVE,3,15300 72ND AVE Surrey
10359,15266,84A Avenue,Surrey,Greater Vancouver,V3S 6H5,-122.798789,49.1563365,15300 84A AVE,3,15300 84A AVE Surrey
10360,15238,64 Avenue,Surrey,Greater Vancouver,V3S 1Y1,-122.7982668,49.1186299,15300 BLOCK 64TH AVE,3,15300 BLOCK 64TH AVE Surrey
10361,15286,Fraser Highway,Surrey,Greater Vancouver,V3R 3P4,-122.7985645,49.1647272,15300 BLOCK FRASER HWY,3,15300 BLOCK FRASER HWY Surrey
10362,15355,Fraser Highway,Surrey,Greater Vancouver,V3R 3P3,-122.7966488,49.1650693,15355 FRASER HWY,3,15355 FRASER HWY Surrey
10363,15380,102A Avenue,Guildford,Surrey,V3R 7K1,-122.7963867,49.1885128,15380 102A AVE,3,15380 102A AVE Surrey
10364,2733,Parkway Drive,Surrey,Greater Vancouver,V4P 3P7,-122.7971075,49.0519647,153A ST / 27A AVE,3,153A ST / 27A AVE Surrey
10365,15342,96 Avenue,Surrey,Greater Vancouver,V3R 1G2,-122.7970011,49.1768175,153A ST / 96TH AVE,3,153A ST / 96TH AVE Surrey
10366,15452,109 Avenue,Surrey,Greater Vancouver,V3R 0X5,-122.794274,49.2003559,15400 109TH AVE,3,15400 109TH AVE Surrey
10367,1575,Best Street,White Rock,Greater Vancouver,V4B 3G1,-122.7963665,49.0306496,15400 16TH AVE,3,15400 16TH AVE Surrey
10368,14910,35A Avenue,Surrey,Greater Vancouver,V3Z 0Y7,-122.8355477,49.0659505,15400 35A AVE,3,15400 35A AVE Surrey
10369,15586,48 Avenue,Surrey,Greater Vancouver,V3S 0L2,-122.7901345,49.0897977,15400 48TH AVE,3,15400 48TH AVE Surrey
10370,15452,77 Avenue,Newton,Surrey,V3S 1C2,-122.8209232,49.1429963,15400 77TH AVE,3,15400 77TH AVE Surrey
10371,14748,86B Avenue,Newton,Surrey,V3S 6R5,-122.8140548,49.1601802,15400 86B AVE,3,15400 86B AVE Surrey
10372,15422,64 Avenue,Surrey,Greater Vancouver,V3S 1Y1,-122.7953507,49.1185799,15400 BLOCK 64TH AVE,3,15400 BLOCK 64TH AVE Surrey
10373,8777,154A Street,Surrey,Greater Vancouver,V3S 2T1,-122.7949438,49.1627766,154A ST / 88TH AVE,3,154A ST / 88TH AVE Surrey
10374,15455,82 Avenue,Surrey,Greater Vancouver,V3S 2K8,-122.7934122,49.15188,154B ST / 82ND AVE,3,154B ST / 82ND AVE Surrey
10375,10114,154 Street,Guildford,Surrey,V3R 4J6,-122.7953939,49.187036,154TH ST / 101A AVE,3,154TH ST / 101A AVE Surrey
10376,104 Ave FS 154 St,Guildford,Surrey,Greater Vancouver,V3R,-122.7953263,49.191468,154TH ST / 104A AVE,3,154TH ST / 104A AVE Surrey
10377,15372,84 Avenue,Surrey,Greater Vancouver,V3S 2N1,-122.796494,49.155523,154TH ST / 84TH AVE,3,154TH ST / 84TH AVE Surrey
10378,Eastbound 88 Ave @ 154 St,Surrey,Greater Vancouver,British Columbia,V3S 2T1,-122.7961442,49.1628756,154TH ST / 88TH AVE,3,154TH ST / 88TH AVE Surrey
10379,15513,28 Avenue,Surrey,Greater Vancouver,V3S 0E5,-122.7929366,49.0530336,15500 28TH AVE,3,15500 28TH AVE Surrey
10380,15526,64 Avenue,Surrey,Greater Vancouver,V3S 1Y1,-122.7924524,49.1185606,15500 64TH AVE,3,15500 64TH AVE Surrey
10381,15507,95 Avenue,Surrey,Greater Vancouver,V3R 8T9,-122.792418,49.174893,15500 95TH AVE,3,15500 95TH AVE Surrey
10382,15514,Kilkenny Drive,Surrey,Greater Vancouver,V3S 6H9,-122.7927894,49.1071873,15500 KILKENNY DR,3,15500 KILKENNY DR Surrey
10383,10186,155 Street,Guildford,Surrey,V3R 0R6,-122.792632,49.187256,155TH ST / 101A AVE,3,155TH ST / 101A AVE Surrey
10384,15620,111 Avenue,Surrey,Greater Vancouver,V4N 4R4,-122.7892625,49.2041736,15600 111TH AVE,3,15600 111TH AVE Surrey
10385,3366,156A Street,Rosemary Heights Central,Surrey,V3S 9Y7,-122.7890485,49.0628014,15600 33A AVE,3,15600 33A AVE Surrey
10386,15586,48 Avenue,Surrey,Greater Vancouver,V3S 0L2,-122.790601,49.0894233,15600 48TH AVE,3,15600 48TH AVE Surrey
10387,12686,90A Avenue,Surrey,Greater Vancouver,V3V 1C7,-122.8709984,49.1672056,15600 90A AVE,3,15600 90A AVE Surrey
10388,15658,97 Avenue,Surrey,Greater Vancouver,V4N 5K5,-122.7881632,49.1787051,15600 97TH AVE,3,15600 97TH AVE Surrey
10389,15687,40 Avenue,Surrey,Greater Vancouver,V3S 0L2,-122.7876574,49.0746446,156B ST / 40TH AVE,3,156B ST / 40TH AVE Surrey
10390,10254,156 Street,Surrey,Greater Vancouver,V3R 4L8,-122.789786,49.189324,156TH ST / 102B AVE,3,156TH ST / 102B AVE Surrey
10391,5621,156 Street,Surrey,Greater Vancouver,V3S 3V6,-122.78994,49.1044475,156TH ST / 56TH AVE,3,156TH ST / 56TH AVE Surrey
10392,8326,156 Street,Surrey,Greater Vancouver,V3S 3R7,-122.7901265,49.1541334,156TH ST / 83A AVE,3,156TH ST / 83A AVE Surrey
10393,8594,156 Street,Surrey,Greater Vancouver,V3S 3R9,-122.7901428,49.1591525,156TH ST / 86TH AVE,3,156TH ST / 86TH AVE Surrey
10394,9005,156 Street,Surrey,Greater Vancouver,V3R 5Y9,-122.790137,49.1664839,156TH ST / 90TH AVE,3,156TH ST / 90TH AVE Surrey
10395,9662,156 Street,Surrey,Greater Vancouver,V3R 0Y1,-122.7900026,49.1782392,156TH ST / 96B AVE,3,156TH ST / 96B AVE Surrey
10396,15760,Croydon Drive,Surrey,Greater Vancouver,V3S 2L6,-122.7847513,49.0462056,15700  CROYDON DR,3,15700  CROYDON DR Surrey
10397,10006,157 Street,Surrey,Greater Vancouver,V4N 2R9,-122.787039,49.1843689,15700 100TH AVE,3,15700 100TH AVE Surrey
10398,15696,91A Avenue,Surrey,Greater Vancouver,V4N 2X3,-122.7869808,49.168961,15700 91A AVE,3,15700 91A AVE Surrey
10399,9562,157 Street,Surrey,Greater Vancouver,V4N 2L1,-122.7873447,49.1758892,15700 95A AVE,3,15700 95A AVE Surrey
10400,15760,Croydon Drive,Surrey,Greater Vancouver,V3S 2L6,-122.7847513,49.0462056,15700 BLOCK CROYDON DR,3,15700 BLOCK CROYDON DR Surrey
10401,10006,157 Street,Surrey,Greater Vancouver,V4N 2R9,-122.787039,49.1843689,157TH ST / 100TH AVE,3,157TH ST / 100TH AVE Surrey
10402,10713,138 Street,Whalley,Surrey,V3T 4K7,-122.8396879,49.1973225,15800 107A AVE,3,15800 107A AVE Surrey
10403,11141,158 Street,Surrey,Greater Vancouver,V4N 5B4,-122.7842966,49.2051663,15800 111A AVE,3,15800 111A AVE Surrey
10404,Building N,15850,26 Avenue,Surrey,V3S 0B7,-122.7822974,49.0484877,15850 26TH AVE,3,15850 26TH AVE Surrey
